event_idx,load_mw,critical_event,selector_time_ms,surrogate_time_ms,baseline_ctrl_ms,droop_ctrl_ms,proposed_ctrl_ms,nr_time_ms,cycle_time_ms,deadline_miss,surrogate_vm_pu,raw_vm_ref_pu,converged,base_vm_ref_pu,droop_vm_ref_pu,prop_vm_ref_pu,p_base_mw,p_droop_mw,p_prop_mw
0,0.308,False,0.0015840050764381886,0.007208989700302482,0.0007910130079835653,0.0007080088835209608,0.000166997779160738,0.0,0.011166994227096438,False,0.9987064,,True,,,,0.308,0.308,0.308
1,0.308,False,0.0006250047590583563,0.0034170225262641907,0.0004159810487180948,0.00033300602808594704,0.000166997779160738,0.0,0.005667010555043817,False,0.9987064,,True,,,,0.308,0.308,0.308
2,0.1,True,0.00033300602808594704,0.0024999899324029684,0.000166997779160738,0.000166997779160738,0.0009579816833138466,5.2132499986328185,5.2180000056978315,False,0.99958,0.9517390467874474,True,0.9517390467874474,0.9517390467874474,0.9517390467874474,0.1,0.1,0.1
3,0.26667,False,0.0004580069798976183,0.004209025064483285,0.00029199873097240925,0.00029098009690642357,8.300412446260452e-05,0.0,0.005791982403025031,False,0.998879986,,True,,,,0.26667,0.26667,0.26667
4,0.016,True,0.0002910092007368803,0.0026249908842146397,0.00016600824892520905,0.00012500095181167126,0.000667001586407423,4.901332984445617,4.905792011413723,False,0.9999328,0.9341579451658019,True,0.9341579451658019,0.9341579451658019,0.9341579451658019,0.016,0.016,0.016
5,0.245,True,0.0005830079317092896,0.004250003257766366,0.0002500019036233425,0.0002500019036233425,0.000500003807246685,5.5426249746233225,5.54908299818635,False,0.998971,0.9725991163778895,True,0.9725991163778895,0.9725991163778895,0.9725991163778895,0.245,0.245,0.245
6,0.005,True,0.0005420006345957518,0.004958012141287327,0.00029199873097240925,0.0002500019036233425,0.0004580069798976183,5.009749991586432,5.016832990804687,False,0.999979,1.028189698853087,True,1.028189698853087,1.028189698853087,1.028189698853087,0.005,0.005,0.005
7,0.004,False,0.00045899651013314724,0.004458997864276171,0.0002500019036233425,0.00020800507627427578,0.0001659791450947523,0.0,0.00595799065195024,False,0.9999832,,True,,,,0.004,0.004,0.004
8,0.016,False,0.0002500019036233425,0.002542015863582492,0.00012500095181167126,0.00012500095181167126,0.00012500095181167126,0.0,0.0034999975468963385,False,0.9999328,,True,,,,0.016,0.016,0.016
9,0.004,False,0.00020899460650980473,0.002333021257072687,0.000166997779160738,8.399365469813347e-05,8.399365469813347e-05,0.0,0.0030840164981782436,False,0.9999832,,True,,,,0.004,0.004,0.004
10,0.001,False,0.00012500095181167126,0.0020830193534493446,8.300412446260452e-05,0.00012500095181167126,0.00012500095181167126,0.0,0.0027909991331398487,False,0.9999958,,True,,,,0.001,0.001,0.001
11,0.171,False,0.00020797597244381905,0.0021249870769679546,8.399365469813347e-05,8.300412446260452e-05,0.00012500095181167126,0.0,0.0029579969123005867,False,0.9992818,,True,,,,0.171,0.171,0.171
12,0.012,False,0.00012500095181167126,0.00200001522898674,8.300412446260452e-05,0.00012500095181167126,8.300412446260452e-05,0.0,0.0026249908842146397,False,0.9999496,,True,,,,0.012,0.012,0.012
13,0.002,False,0.00012500095181167126,0.0018339778762310743,8.399365469813347e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.0024579931050539017,False,0.9999916,,True,,,,0.002,0.002,0.002
14,0.186,False,0.00012500095181167126,0.0017909915186464787,8.300412446260452e-05,8.300412446260452e-05,4.1996827349066734e-05,0.0,0.0024170149117708206,False,0.9992188,,True,,,,0.186,0.186,0.186
15,0.14196999999999999,False,0.000166997779160738,0.001834006980061531,8.40227585285902e-05,8.40227585285902e-05,8.399365469813347e-05,0.0,0.0024999899324029684,False,0.999403726,,True,,,,0.14196999999999999,0.14196999999999999,0.14196999999999999
16,0.07881,False,0.000166997779160738,0.0019160215742886066,8.300412446260452e-05,0.00012500095181167126,0.00012500095181167126,0.0,0.0026250199880450964,False,0.999668998,,True,,,,0.07881,0.07881,0.07881
17,0.09497,False,0.00012500095181167126,0.0019999861251562834,8.300412446260452e-05,0.00012500095181167126,8.300412446260452e-05,0.0,0.002708984538912773,False,0.999601126,,True,,,,0.09497,0.09497,0.09497
18,0.1,False,0.00012500095181167126,0.0020830193534493446,8.297502063214779e-05,8.297502063214779e-05,4.1996827349066734e-05,0.0,0.0026659981813281775,False,0.99958,,True,,,,0.1,0.1,0.1
19,0.043,False,0.00012500095181167126,0.0019579892978072166,8.300412446260452e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.002540997229516506,False,0.9998194,,True,,,,0.043,0.043,0.043
20,0.2,False,8.300412446260452e-05,0.0018329883459955454,4.202593117952347e-05,8.40227585285902e-05,4.1996827349066734e-05,0.0,0.002334010787308216,False,0.99916,,True,,,,0.2,0.2,0.2
21,0.2,False,8.300412446260452e-05,0.0019999861251562834,8.300412446260452e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.002583983587101102,False,0.99916,,True,,,,0.2,0.2,0.2
22,0.089,False,8.300412446260452e-05,0.0017920101527124643,8.399365469813347e-05,4.1996827349066734e-05,8.300412446260452e-05,0.0,0.002334010787308216,False,0.9996262,,True,,,,0.089,0.089,0.089
23,0.167,False,8.300412446260452e-05,0.001667009200900793,8.399365469813347e-05,8.399365469813347e-05,4.202593117952347e-05,0.0,0.002209009835496545,False,0.9992986,,True,,,,0.167,0.167,0.167
24,0.217,False,0.00012500095181167126,0.0017090060282498598,8.399365469813347e-05,4.1996827349066734e-05,8.300412446260452e-05,0.0,0.002249988028779626,False,0.9990886,,True,,,,0.217,0.217,0.217
25,0.241,False,4.1996827349066734e-05,0.0016669800970703363,8.300412446260452e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.002208980731666088,False,0.9989878,,True,,,,0.241,0.241,0.241
26,0.093,False,0.000166997779160738,0.0018750142771750689,8.300412446260452e-05,8.300412446260452e-05,8.300412446260452e-05,0.0,0.0024999899324029684,False,0.9996094,,True,,,,0.093,0.093,0.093
27,0.24,False,8.399365469813347e-05,0.0017500133253633976,8.399365469813347e-05,8.399365469813347e-05,8.399365469813347e-05,0.0,0.0022910244297236204,False,0.998992,,True,,,,0.24,0.24,0.24
28,0.098,False,0.00012500095181167126,0.0017079873941838741,8.300412446260452e-05,4.1996827349066734e-05,4.1996827349066734e-05,0.0,0.002249988028779626,False,0.9995884,,True,,,,0.098,0.098,0.098
29,0.156,False,0.00012500095181167126,0.0016659905668348074,4.1996827349066734e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.002207991201430559,False,0.9993448,,True,,,,0.156,0.156,0.156
30,0.281,False,4.202593117952347e-05,0.001667009200900793,8.399365469813347e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.002209009835496545,False,0.9988198,,True,,,,0.281,0.281,0.281
31,0.05167,True,4.1996827349066734e-05,0.0017079873941838741,4.1996827349066734e-05,8.399365469813347e-05,0.00041601015254855156,4.9408329941798,4.94345897459425,False,0.999782986,0.9346724599000366,True,0.9346724599000366,0.9346724599000366,0.9346724599000366,0.05167,0.05167,0.05167
32,0.35278,True,0.00029199873097240925,0.00462500611320138,0.00029199873097240925,0.00020899460650980473,0.00029199873097240925,4.884458001470193,4.890750016784295,False,0.998518324,1.0033023681699107,True,1.0033023681699107,1.0033023681699107,1.0033023681699107,0.35278,0.35278,0.35278
33,0.028,True,0.0004169996827840805,0.004291010554879904,0.0002500019036233425,0.00020800507627427578,0.0002910092007368803,4.689291992690414,4.695250012446195,False,0.9998824,0.9495248923969446,True,0.9495248923969446,0.9495248923969446,0.9495248923969446,0.028,0.028,0.028
34,0.101,False,0.00041601015254855156,0.003749999450519681,0.0002500019036233425,0.00020902371034026146,0.00012500095181167126,0.0,0.005166977643966675,False,0.9995758,,True,,,,0.101,0.101,0.101
35,0.023,False,0.0002500019036233425,0.002542015863582492,0.00016702688299119473,0.00012500095181167126,0.00012500095181167126,0.0,0.0034999975468963385,False,0.9999034,,True,,,,0.023,0.023,0.023
36,0.254,True,0.00020800507627427578,0.002415996277704835,0.00012500095181167126,0.00012500095181167126,0.000333995558321476,4.621083004167303,4.624666995368898,False,0.9989332,1.0275384425135319,True,1.0275384425135319,1.0275384425135319,1.0275384425135319,0.254,0.254,0.254
37,0.19288,False,0.0003340246621519327,0.0034580007195472717,0.00020797597244381905,0.0001659791450947523,0.00012500095181167126,0.0,0.004749977961182594,False,0.999189904,,True,,,,0.19288,0.19288,0.19288
38,0.184,False,0.00020800507627427578,0.0026250199880450964,0.00012500095181167126,0.00012500095181167126,8.297502063214779e-05,0.0,0.0035409757401794195,False,0.9992272,,True,,,,0.184,0.184,0.184
39,0.146,False,0.000166997779160738,0.0022909953258931637,0.00012500095181167126,8.300412446260452e-05,0.00012500095181167126,0.0,0.0031249946914613247,False,0.9993868,,True,,,,0.146,0.146,0.146
40,0.049,False,0.00012500095181167126,0.00200001522898674,8.297502063214779e-05,0.00012497184798121452,0.00012500095181167126,0.0,0.002749991836026311,False,0.9997942,,True,,,,0.049,0.049,0.049
41,0.013,False,0.00012500095181167126,0.002082990249618888,0.00012500095181167126,0.0001659791450947523,8.399365469813347e-05,0.0,0.0027919886633753777,False,0.9999454,,True,,,,0.013,0.013,0.013
42,0.748,True,8.300412446260452e-05,0.0021250161807984114,0.00012500095181167126,0.00012500095181167126,0.00029199873097240925,4.717542004073039,4.720708995591849,False,0.9968584,1.0242174825534252,True,1.0242174825534252,1.0242174825534252,1.0242174825534252,0.748,0.748,0.748
43,0.127,True,0.000500003807246685,0.004750007065013051,0.0002500019036233425,0.00020800507627427578,0.00037500285543501377,5.0569169980008155,5.063499993411824,False,0.9994666,0.8912890484463554,True,0.8912890484463554,0.8912890484463554,0.8912890484463554,0.127,0.127,0.127
44,0.26333,False,0.0004169996827840805,0.004292000085115433,0.00029199873097240925,0.00020800507627427578,0.00012500095181167126,0.0,0.005791021976619959,False,0.998894014,,True,,,,0.26333,0.26333,0.26333
45,0.099,False,0.0002910092007368803,0.002542015863582492,0.000166997779160738,8.297502063214779e-05,8.297502063214779e-05,0.0,0.003583991201594472,False,0.9995842,,True,,,,0.099,0.099,0.099
46,0.25425,False,0.000166997779160738,0.002500019036233425,0.00012500095181167126,0.00012500095181167126,0.00012500095181167126,0.0,0.003334018401801586,False,0.99893215,,True,,,,0.25425,0.25425,0.25425
47,0.03,True,0.000166997779160738,0.0021249870769679546,0.00012500095181167126,8.399365469813347e-05,0.000333995558321476,4.796249995706603,4.799457994522527,False,0.999874,1.0227886298948448,True,1.0227886298948448,1.0227886298948448,1.0227886298948448,0.03,0.03,0.03
48,0.162,False,0.00037500285543501377,0.003749999450519681,0.000166997779160738,0.00020800507627427578,0.00012500095181167126,0.0,0.0050000089686363935,False,0.9993196,,True,,,,0.162,0.162,0.162
49,0.058,False,0.00020800507627427578,0.0024579931050539017,0.00012500095181167126,0.00012500095181167126,0.00012500095181167126,0.0,0.0033329997677356005,False,0.9997564,,True,,,,0.058,0.058,0.058
50,0.26,False,0.000166997779160738,0.0022500171326100826,0.00012500095181167126,0.00012500095181167126,8.399365469813347e-05,0.0,0.003042019670829177,False,0.998908,,True,,,,0.26,0.26,0.26
51,0.178,False,0.00016702688299119473,0.0022500171326100826,0.00012500095181167126,8.399365469813347e-05,8.399365469813347e-05,0.0,0.003042019670829177,False,0.9992524,,True,,,,0.178,0.178,0.178
52,0.365,True,0.00020800507627427578,0.0021250161807984114,0.00012500095181167126,0.000166997779160738,0.0003329769242554903,4.721375007648021,4.724667000118643,False,0.998467,1.027211208874167,True,1.027211208874167,1.027211208874167,1.027211208874167,0.365,0.365,0.365
53,0.235,False,0.00037500285543501377,0.0034580007195472717,0.00016600824892520905,0.000166997779160738,0.00012500095181167126,0.0,0.00462500611320138,False,0.999013,,True,,,,0.235,0.235,0.235
54,0.135,False,0.00020800507627427578,0.0026669877115637064,0.000166997779160738,0.00012500095181167126,0.00012500095181167126,0.0,0.0034999975468963385,False,0.999433,,True,,,,0.135,0.135,0.135
55,0.21281,False,0.000166997779160738,0.002374988980591297,0.00012500095181167126,0.00012500095181167126,8.300412446260452e-05,0.0,0.003207998815923929,False,0.999106198,,True,,,,0.21281,0.21281,0.21281
56,0.171,False,0.00012500095181167126,0.0021249870769679546,0.00012500095181167126,0.00012500095181167126,0.00012500095181167126,0.0,0.002874992787837982,False,0.9992818,,True,,,,0.171,0.171,0.171
57,0.746,True,0.00016600824892520905,0.0022920139599591494,0.00012500095181167126,0.00016702688299119473,0.0003329769242554903,4.665999993449077,4.669417015975341,False,0.9968668,1.0278646050079097,True,1.0278646050079097,1.0278646050079097,1.0278646050079097,0.746,0.746,0.746
58,0.1795,True,0.00033300602808594704,0.003583001671358943,0.00020800507627427578,0.00020800507627427578,0.0003329769242554903,4.698167002061382,4.703333979705349,False,0.9992461,0.9352116334593606,True,0.9352116334593606,0.9352116334593606,0.9352116334593606,0.1795,0.1795,0.1795
59,0.26033,False,0.00037500285543501377,0.0034590193536132574,0.00020899460650980473,0.000166997779160738,0.00012500095181167126,0.0,0.004749977961182594,False,0.998906614,,True,,,,0.26033,0.26033,0.26033
60,0.35761000000000004,True,0.00016600824892520905,0.0024999899324029684,0.00016600824892520905,0.00012500095181167126,0.0002910092007368803,4.584124981192872,4.5877920056227595,False,0.998498038,0.9465959591353299,True,0.9465959591353299,0.9465959591353299,0.9465959591353299,0.35761000000000004,0.35761000000000004,0.35761000000000004
61,0.056,True,0.00033300602808594704,0.003374996595084667,0.00020800507627427578,0.00012500095181167126,0.000333995558321476,4.696208983659744,4.70104199484922,False,0.9997648,0.9334355652599154,True,0.9334355652599154,0.9334355652599154,0.9334355652599154,0.056,0.056,0.056
62,0.132,False,0.00037500285543501377,0.0038750004023313522,0.00020902371034026146,0.0002500019036233425,0.00012500095181167126,0.0,0.005291978595778346,False,0.9994456,,True,,,,0.132,0.132,0.132
63,0.00675,False,0.0002500019036233425,0.002749991836026311,0.000166997779160738,0.00012500095181167126,0.00012500095181167126,0.0,0.003708992153406143,False,0.99997165,,True,,,,0.00675,0.00675,0.00675
64,0.088,False,0.00016600824892520905,0.0023339816834777594,0.00012500095181167126,0.00012500095181167126,8.300412446260452e-05,0.0,0.00304199056699872,False,0.9996304,,True,,,,0.088,0.088,0.088
65,0.021,False,0.000166997779160738,0.002082990249618888,0.00012500095181167126,8.399365469813347e-05,8.399365469813347e-05,0.0,0.002874992787837982,False,0.9999118,,True,,,,0.021,0.021,0.021
