severity,peak_multiplier,n_critical,n_violations,n_solver_failures,min_voltage_pu
1.0,1.0,4055,0,0,0.9388067129114686
1.05,1.05,4055,0,0,0.9329720936590518
1.1,1.1,4055,0,0,0.927023300068603
1.15,1.15,4055,0,0,0.9209554745643753
1.2,1.2,4055,0,0,0.9147632721465484
1.25,1.25,4055,0,0,0.9084409384844566
1.26,1.26,4055,0,0,0.9071603158660148
1.3,1.3,4055,0,0,0.9019822306612223
1.35,1.35,4055,1,0,0.8953803575751527
1.4,1.4,4055,2,0,0.8886279106076416
1.5,1.5,4055,14,0,0.874638072178194
1.75,1.75,4055,131,0,0.8363474267029969
2.0,2.0,4055,372,0,0.7917927847780208
